"","Two_yr_Recidivism","Number_of_Priors","Age_Above_FourtyFive","Age_Below_TwentyFive","Misdemeanor","Ethnicity","Sex"
"1","0",0,"1","0","0","Other","Male"
"2","1",0,"0","0","0","African_American","Male"
"3","1",4,"0","1","0","African_American","Male"
"4","0",0,"0","0","1","Other","Male"
"5","1",14,"0","0","0","Caucasian","Male"
"6","0",3,"0","0","0","Other","Male"
"7","0",0,"0","0","1","Caucasian","Female"
"8","0",0,"0","0","0","Caucasian","Male"
"9","1",3,"0","1","1","African_American","Male"
"10","0",0,"0","0","1","Caucasian","Female"
"11","0",0,"0","0","0","African_American","Male"
"12","1",1,"1","0","0","Caucasian","Female"
"13","1",7,"0","0","0","African_American","Male"
"14","0",0,"0","0","1","Hispanic","Male"
"15","0",3,"0","0","0","African_American","Male"
"16","1",6,"0","0","0","Caucasian","Male"
"17","1",5,"0","0","0","Caucasian","Male"
"18","1",13,"1","0","0","African_American","Male"
"19","1",1,"0","1","0","African_American","Male"
"20","1",0,"0","0","1","Caucasian","Male"
"21","0",0,"0","1","0","Caucasian","Female"
"22","1",1,"0","1","0","Hispanic","Male"
"23","0",1,"0","0","1","Caucasian","Male"
"24","0",0,"0","0","1","Other","Male"
"25","1",8,"0","0","0","African_American","Male"
"26","1",5,"0","0","0","African_American","Male"
"27","1",0,"0","0","0","African_American","Male"
"28","1",9,"0","0","0","Caucasian","Male"
"29","1",4,"0","0","0","African_American","Male"
"30","0",0,"1","0","0","Caucasian","Male"
"31","1",7,"1","0","0","Other","Male"
"32","1",4,"0","0","1","Caucasian","Female"
"33","1",1,"0","1","1","Caucasian","Male"
"34","1",21,"0","0","0","African_American","Male"
"35","0",0,"0","0","1","Caucasian","Male"
"36","0",2,"0","1","0","African_American","Female"
"37","0",2,"1","0","1","African_American","Male"
"38","1",2,"0","0","1","Caucasian","Male"
"39","0",7,"1","0","0","African_American","Female"
"40","1",0,"0","0","0","African_American","Male"
"41","1",9,"0","0","1","Caucasian","Male"
"42","1",13,"0","0","0","African_American","Male"
"43","0",0,"1","0","1","Caucasian","Male"
"44","0",0,"0","0","0","African_American","Male"
"45","1",1,"0","0","0","Caucasian","Male"
"46","0",0,"0","0","0","Other","Female"
"47","0",15,"0","0","0","African_American","Male"
"48","1",2,"0","1","0","African_American","Male"
"49","0",0,"0","0","1","Hispanic","Male"
"50","0",4,"1","0","1","African_American","Male"
"51","0",8,"1","0","0","Caucasian","Male"
"52","0",5,"0","0","0","African_American","Male"
"53","1",15,"0","0","0","African_American","Male"
"54","1",4,"0","0","1","Caucasian","Male"
"55","1",1,"0","1","0","African_American","Male"
"56","1",4,"0","0","0","African_American","Male"
"57","0",0,"1","0","1","Hispanic","Male"
"58","1",6,"0","0","0","African_American","Male"
"59","0",0,"0","0","1","Other","Male"
"60","0",0,"1","0","1","African_American","Female"
"61","1",6,"1","0","0","Hispanic","Male"
"62","0",1,"0","1","0","Hispanic","Male"
"63","0",1,"0","0","1","African_American","Male"
"64","1",5,"0","0","0","African_American","Male"
"65","1",1,"0","0","0","Caucasian","Male"
"66","0",2,"0","0","0","African_American","Male"
"67","1",1,"0","1","1","African_American","Male"
"68","0",0,"0","1","0","Caucasian","Male"
"69","1",1,"0","0","0","African_American","Female"
"70","0",0,"0","0","0","African_American","Male"
"71","0",1,"0","0","1","African_American","Male"
"72","1",8,"0","0","1","African_American","Male"
"73","1",0,"1","0","0","Other","Male"
"74","1",14,"0","0","0","African_American","Male"
"75","1",0,"0","1","0","Other","Male"
"76","1",2,"0","1","0","African_American","Male"
"77","0",1,"0","0","1","African_American","Female"
"78","1",9,"0","0","0","African_American","Male"
"79","1",7,"0","0","0","Caucasian","Male"
"80","1",1,"0","1","0","Other","Male"
"81","1",9,"0","0","0","Caucasian","Male"
"82","0",0,"0","1","0","Caucasian","Female"
"83","1",2,"0","0","0","Caucasian","Male"
"84","0",0,"1","0","1","Caucasian","Female"
"85","0",0,"0","0","1","Hispanic","Female"
"86","1",1,"0","1","1","African_American","Male"
"87","0",1,"0","0","0","African_American","Male"
"88","1",0,"0","0","0","Caucasian","Female"
"89","1",8,"0","1","0","Caucasian","Male"
"90","0",0,"0","0","0","Caucasian","Male"
"91","0",0,"0","0","1","Caucasian","Male"
"92","0",1,"0","0","0","Caucasian","Female"
"93","0",1,"0","0","0","Caucasian","Male"
"94","1",3,"0","1","0","African_American","Male"
"95","1",5,"0","0","1","Caucasian","Male"
"96","0",0,"0","0","0","Caucasian","Male"
"97","1",5,"0","0","0","African_American","Male"
"98","0",3,"0","0","0","African_American","Male"
"99","1",1,"0","0","0","Caucasian","Male"
"100","1",10,"0","0","0","African_American","Male"
"101","1",0,"0","1","0","African_American","Male"
"102","1",28,"0","0","0","African_American","Male"
"103","0",1,"0","0","1","African_American","Male"
"104","0",1,"0","0","0","Other","Female"
"105","1",13,"0","0","0","Caucasian","Male"
"106","1",3,"0","0","0","African_American","Male"
"107","0",3,"1","0","1","Caucasian","Male"
"108","1",19,"0","0","0","African_American","Male"
"109","0",6,"0","0","0","Caucasian","Male"
"110","0",2,"0","0","0","Caucasian","Female"
"111","0",1,"0","0","1","Caucasian","Male"
"112","0",2,"0","0","1","Other","Female"
"113","1",0,"0","0","1","Caucasian","Male"
"114","0",0,"0","1","1","African_American","Female"
"115","1",10,"0","0","0","Caucasian","Female"
"116","1",2,"0","0","1","Caucasian","Male"
"117","1",3,"0","0","0","African_American","Male"
"118","1",2,"0","0","1","Caucasian","Male"
"119","0",1,"0","0","1","African_American","Male"
"120","1",1,"1","0","0","Caucasian","Male"
"121","0",1,"0","1","0","African_American","Female"
"122","0",0,"0","0","1","Caucasian","Female"
"123","1",9,"0","0","0","African_American","Male"
"124","1",11,"0","0","0","African_American","Male"
"125","1",8,"0","0","1","African_American","Male"
"126","1",0,"0","0","0","African_American","Female"
"127","1",7,"0","0","0","African_American","Female"
"128","1",2,"0","0","0","African_American","Male"
"129","0",0,"0","1","0","African_American","Female"
"130","0",0,"0","0","1","Caucasian","Female"
"131","1",1,"1","0","0","African_American","Female"
"132","1",13,"1","0","0","Other","Male"
"133","0",1,"1","0","0","Hispanic","Male"
"134","1",4,"0","0","0","African_American","Female"
"135","0",1,"0","0","0","Hispanic","Male"
"136","1",2,"0","0","1","African_American","Female"
"137","0",1,"0","0","1","Caucasian","Male"
"138","1",3,"0","0","0","Caucasian","Female"
"139","0",1,"0","0","0","African_American","Male"
"140","0",2,"1","0","1","Caucasian","Male"
"141","0",1,"0","1","0","African_American","Male"
"142","1",6,"1","0","0","Caucasian","Male"
"143","0",0,"0","0","0","Caucasian","Male"
"144","1",1,"0","0","1","African_American","Male"
"145","0",0,"0","1","0","Hispanic","Male"
"146","0",5,"0","0","0","African_American","Female"
"147","0",2,"1","0","1","Hispanic","Male"
"148","0",8,"1","0","0","African_American","Male"
"149","1",8,"0","0","0","Hispanic","Male"
"150","1",6,"0","0","1","African_American","Male"
"151","0",2,"1","0","0","Hispanic","Male"
"152","0",0,"1","0","0","Hispanic","Male"
"153","1",1,"1","0","1","Caucasian","Male"
"154","0",0,"1","0","0","Caucasian","Male"
"155","0",0,"0","1","0","Other","Male"
"156","1",1,"0","1","0","African_American","Male"
"157","1",23,"1","0","1","African_American","Male"
"158","1",0,"0","1","1","African_American","Male"
"159","0",1,"1","0","0","Hispanic","Male"
"160","0",3,"1","0","0","African_American","Male"
"161","1",8,"1","0","1","Caucasian","Male"
"162","1",2,"0","0","1","African_American","Male"
"163","1",0,"0","0","0","Caucasian","Male"
"164","1",9,"0","0","0","African_American","Male"
"165","0",2,"1","0","0","Caucasian","Male"
"166","1",0,"0","1","0","African_American","Male"
"167","0",2,"0","0","1","African_American","Male"
"168","0",1,"0","1","1","African_American","Female"
"169","1",2,"0","0","1","Other","Male"
"170","0",1,"1","0","0","Caucasian","Male"
"171","0",0,"0","0","1","Caucasian","Female"
"172","0",4,"0","0","1","Caucasian","Male"
"173","1",23,"0","0","0","African_American","Female"
"174","1",5,"0","1","0","Other","Male"
"175","1",2,"0","0","0","African_American","Male"
"176","0",0,"0","0","1","African_American","Male"
"177","0",0,"0","0","0","African_American","Female"
"178","1",7,"0","0","0","Caucasian","Female"
"179","0",2,"0","0","0","African_American","Male"
"180","0",1,"0","0","0","African_American","Female"
"181","1",7,"1","0","0","Caucasian","Male"
"182","0",15,"0","0","0","African_American","Male"
"183","0",2,"0","0","1","African_American","Male"
"184","1",0,"1","0","1","Caucasian","Female"
"185","0",0,"1","0","1","Caucasian","Male"
"186","1",1,"0","0","1","Other","Male"
"187","0",0,"1","0","0","African_American","Male"
"188","1",4,"0","0","0","Caucasian","Male"
"189","0",2,"0","0","0","African_American","Female"
"190","0",5,"0","0","1","African_American","Female"
